Numero de Requisito	Detalle de requisito	Prioridad del requisito
RF-112	El sistema debera permitir buscar en el historial de activos por documento, nombre, serial o placa segun el tipo de vista seleccionada.	ALTA
RF-113	El sistema debera permitir abrir el detalle del propietario del activo registrado desde la tabla del historial de activos.	ALTA
RF-114	El sistema debera generar un centro de reportes para seleccionar el tipo de reporte a exportar.	ALTA
RF-115	El centro de reportes debera permitir escoger entre: Reporte de ingresos, Reporte de salidas, Registro historico y Reporte de activos.	ALTA
RF-116	El sistema debera construir un formulario dinamico de filtros segun el tipo de reporte seleccionado.	ALTA
RF-117	El centro de reportes debera mostrar un resumen visible con la configuracion actual del reporte antes de exportarlo.	MEDIA
RF-118	El sistema debera permitir limpiar la configuracion del reporte actual sin afectar los demas tipos de reporte.	MEDIA
RF-119	El sistema debera generar una vista movil para la captura de la firma digital del aprendiz.	ALTA
RF-120	La vista movil de firma debera enviar la firma capturada al sistema para completar el registro de la maquina asociada al ingreso.	ALTA
RF-121	El sistema debera bloquear las opciones de ingreso y salida cuando el horario actual no corresponda a una jornada operativa habilitada.	ALTA
RF-122	El sistema debera clasificar automaticamente cada registro de ingreso dentro de una jornada operativa segun la hora del movimiento.	ALTA
RF-123	El sistema debera manejar como jornadas operativas las siguientes franjas horarias: Diurna, Tarde y Noche.	ALTA
RF-124	La jornada Diurna debera corresponder a los registros comprendidos entre las 06:00 AM y las 11:59 AM.	ALTA
RF-125	La jornada Tarde debera corresponder a los registros comprendidos entre las 12:00 PM y las 05:59 PM.	ALTA
RF-126	La jornada Noche debera corresponder a los registros comprendidos entre las 06:00 PM y las 11:59 PM.	ALTA
RF-127	El sistema debera mostrar una etiqueta visual de jornada dentro de la tabla de ingresos del aprendiz.	ALTA
RF-128	El sistema debera conservar la jornada detectada del aprendiz para reutilizarla en consultas posteriores del mismo registro.	MEDIA
RF-129	Si la hora del registro no corresponde a ninguna franja valida, el sistema debera marcar el movimiento como Sin jornada.	MEDIA
RF-130	El sistema debera consultar la hora actual del servidor para determinar si el sistema se encuentra dentro de una jornada operativa.	ALTA
RF-131	El sistema debera reevaluar automaticamente el estado de apertura o cierre del sistema en intervalos periodicos durante la operacion.	MEDIA
RF-132	Cuando el sistema se encuentre fuera de jornada, debera deshabilitar las acciones de Escanear aprendiz, Ingreso manual, Escanear salida y Salida manual.	ALTA
RF-133	Cuando el sistema pase de una jornada operativa a un horario no habilitado, debera mostrar una notificacion indicando que el sistema se encuentra cerrado en ese horario.	MEDIA
