Numero de Requisito	Detalle de requisito	Prioridad del requisito
RF-49	Al momento de seleccionar el filtro, el sistema debe crear un Buscador donde el celador podra digitar el DNI del Aprendiz	MEDIA
RF-50	El buscador debera buscar en todos los registros de la tabla, el computador que sea propiedad del aprendiz	MEDIA
RF-51	El sistema debe generar un selector para poder filtrar registros de computadores mediante un rango de fechas	MEDIA
RF-52	El sistema debe colocar el selector en la parte superior derecha de la vista	MEDIA
RF-53	El sistema debe mostrar en la tabla de computadores, aquellos aprendices computadores segun el rango de fechas.	MEDIA
RF-54	El sistema debe generar un modulo para la visualizacion de los vehiculos que ingresan al CTA	ALTA
RF-55	"El sistema debe mostrar una tabla con registros debe contener: Marca, Placa, DNI del Aprendiz, Hora de Ingreso, Hora de salida, Detalles de propietario
"	ALTA
RF-56	El sistema debe generar el filtro dentro del selector para poder filtrar el vehiculo por medio de su placa	MEDIA
RF-57	Al momento de seleccionar el filtro, el sistema debe crear un Buscador donde el celador podra digitar la placa del vehiculo	MEDIA
RF-58	El buscador debera buscar en todos los registros de la tabla, el vehiculo que coincida con la placa	MEDIA
RF-59	Al momento de encontrar el vehiculo, la tabla solo debe mostrar la placa del vehiculo y sus datos	MEDIA
RF-60	El sistema debe generar el filtro dentro del selector para poder filtrar el vehiculo mediante DNI del aprendiz	MEDIA
RF-61	Al momento de seleccionar el filtro, el sistema debe crear un Buscador donde el celador podra digitar el DNI del Aprendiz	MEDIA
RF-62	El buscador debera buscar en todos los registros de la tabla, el vehiculo que sea propiedad del aprendiz	MEDIA
RF-63	Al momento de encontrar el vehiculo, la tabla solo debe mostrar el vehiculo perteneciente al aprendiz	MEDIA
RF-64	El sistema debe generar un selector para poder filtrar registros de vehiculos mediante un rango de fechas	MEDIA
RF-65	El sistema debe colocar el selector en la parte superior derecha de la vista	MEDIA
RF-66	El sistema debe mostrar en la tabla de vehiculos, aquellos aprendices vehiculos segun el rango de fechas.	MEDIA
RF-67	El sistema debera crear el rol de administrador	ALTA
RF-68	El rol administrador debera tener todos los permisos del rol celador	ALTA
RF-69	El administrador podra visualizar la pertenencia exacta del equipo enlazado al aprendiz	ALTA
RF-70 	El administrador podra visualizar si algun aprendiz intento registrar un equipo que ya esta enlazado con un aprendiz, y mostrara una alerta	MEDIA
RF-71	El sistema no debera de permitir registrar una salida si no han pasado menos de 5 minutos del ingreso	ALTA
RF-72	El sistema debe permitir crear informes exportables en excel o pdf	MEDIA
RF-72	Se debera crear formatos para informes de entradas y salidas del dia actual	MEDIA
RF-73	Se debera crear formatos para informes de entrads y salidas segun un rango de fechas	MEDIA
RF-74	Se debera implementar un sistema que recopile los dias consecutivos que un aprendiz ha ingresado al CTA	MEDIA
RF-75	Se debera mostrar una alerta a aquellos aprendices que lleven 3 dias consecutivos faltando al CTA	MEDIA
RF-76	El administrador podra editar y eliminar registros de entradas y salidas	MEDIA
RF-77	El sistema debera mostrar el total de aprendices que han ingresado este year	MEDIA
RF-78	El sistema debera mostrar en los registros del aprendiz, una etiqueta que identifique su jornada	BAJA
RF-79	(Implementacion de escaneo de codigo de barras desde el movil)	BAJA
RF-80	(Implementacion de enlace unico del equipo con el aprendiz, sin permitir seriales diferentes en diferente dias	ALTA
